event,op,regret,acc,eps_spent,capacity_remaining
0,insert,1151588069900747.2,9.820732136323493,0.0,inf
1,insert,1151588069900917.8,13.059658474672577,0.0,inf
2,insert,1151588069900921.5,1.9227878464752743,0.0,inf
3,insert,1151588069900981.0,7.713114714455882,0.0,inf
4,insert,1151588069901036.0,7.4232585187853175,0.0,inf
5,insert,1151588069901054.0,4.231530239828506,0.0,inf
6,insert,1151588069901124.2,8.38593314899757,0.0,inf
7,insert,1151588069901133.8,3.0754041076252623,0.0,inf
8,insert,1151588069901172.0,6.192688120518824,0.0,inf
9,insert,1151588069901441.8,16.42473380668087,0.0,inf
10,insert,1151588069902496.8,32.47990313212331,0.0,inf
11,insert,1151588069902499.2,1.5446098268756447,0.0,inf
12,insert,1151588069902767.2,16.369300447704966,0.0,inf
13,insert,1151588069902771.2,1.9925592016209555,0.0,inf
14,insert,1151588069902771.5,0.5537031981566676,0.0,inf
15,insert,1151588069903229.8,21.40611751941445,0.0,inf
16,insert,1151588069903366.8,11.708362300030846,0.0,inf
17,insert,1151588069903366.8,0.14918619847559267,0.0,inf
18,insert,1151588069903624.5,16.05402498575549,0.0,inf
19,insert,1151588069903691.5,8.183607949774714,0.0,inf
20,insert,1151588069904232.2,23.252762850991473,0.0,inf
21,insert,1151588069904434.2,14.21200686607844,0.0,inf
22,insert,1151588069904452.5,4.266904050419578,0.0,inf
23,insert,1151588069905200.0,27.339820231823403,0.0,inf
24,insert,1151588069905259.5,7.7071821444848645,0.0,inf
25,insert,1151588069905382.5,11.089784060761438,0.0,inf
26,insert,1151588069905397.8,3.8895407030397378,0.0,inf
27,insert,1151588069905400.0,1.4656840667393531,0.0,inf
28,insert,1151588069905459.8,7.729347975611439,0.0,inf
29,insert,1151588069905497.2,6.123231589627688,0.0,inf
30,insert,1151588069905815.5,17.839728398100952,0.0,inf
31,insert,1151588069905918.2,10.13452717119437,0.0,inf
32,insert,1151588069906553.0,25.193970122870894,0.0,inf
33,insert,1151588069906554.0,0.9839304227867602,0.0,inf
34,insert,1151588069906566.2,3.5071255115250963,0.0,inf
35,insert,1151588069907468.2,30.033870666069696,0.0,inf
36,insert,1151588069907482.0,3.7082975625841152,0.0,inf
37,insert,1151588069907631.2,12.215203330343058,0.0,inf
38,insert,1151588069907632.5,1.0783857084435695,0.0,inf
39,insert,1151588069907936.8,17.443356448978005,0.0,inf
40,insert,1151588069907936.8,0.13841659690695707,0.0,inf
41,insert,1151588069907946.8,3.153407873575284,0.0,inf
42,insert,1151588069908059.2,10.602541706958165,0.0,inf
43,insert,1151588069908059.2,0.3408659709666457,0.0,inf
44,insert,1151588069908098.0,6.232395641422304,0.0,inf
45,insert,1151588069908098.2,0.5310189907231653,0.0,inf
46,insert,1151588069908114.2,4.015575740060606,0.0,inf
47,insert,1151588069908170.5,7.493201484272857,0.0,inf
48,insert,1151588069908287.0,10.793830622185023,0.0,inf
49,insert,1151588069908295.0,2.827033485070988,0.0,inf
50,insert,1151588069908499.5,14.299421625755933,0.0,inf
51,insert,1151588069908579.2,8.931459046280995,0.0,inf
52,insert,1151588069908823.2,15.61973838223916,0.0,inf
53,insert,1151588069909116.2,17.114535695471915,0.0,inf
54,insert,1151588069909136.8,4.522074790377097,0.0,inf
55,insert,1151588069909280.5,11.993741479200494,0.0,inf
56,insert,1151588069909913.5,25.159951055493096,0.0,inf
57,insert,1151588069910508.2,24.387801336231366,0.0,inf
58,insert,1151588069910511.2,1.6982015143704081,0.0,inf
59,insert,1151588069910883.5,19.29522083090135,0.0,inf
60,insert,1151588069911709.8,28.74393044435474,0.0,inf
61,insert,1151588069912029.5,17.880606451324006,0.0,inf
62,insert,1151588069912037.2,2.799084309975645,0.0,inf
63,insert,1151588069912057.2,4.469519440545372,0.0,inf
64,insert,1151588069912058.0,0.9091187215414935,0.0,inf
65,insert,1151588069912099.0,6.402229029521122,0.0,inf
66,insert,1151588069912113.5,3.8210292773519443,0.0,inf
67,insert,1151588069912206.5,9.645736169291869,0.0,inf
68,insert,1151588069912226.5,4.478637947893393,0.0,inf
69,insert,1151588069912251.5,4.995272913294966,0.0,inf
70,insert,1151588069912956.2,26.545475214273267,0.0,inf
71,insert,1151588069912994.8,6.202354758873389,0.0,inf
72,insert,1151588069913361.8,19.15744072523552,0.0,inf
73,insert,1151588069913390.2,5.3391297013312204,0.0,inf
74,insert,1151588069913499.8,10.469200064364497,0.0,inf
75,insert,1151588069913504.0,2.07967369629438,0.0,inf
76,insert,1151588069913544.8,6.386214410445502,0.0,inf
77,insert,1151588069913865.0,17.89309999874435,0.0,inf
78,insert,1151588069914767.8,30.0439627470668,0.0,inf
79,insert,1151588069915859.5,33.042551396947786,0.0,inf
80,insert,1151588069915913.2,7.3349950884836534,0.0,inf
81,insert,1151588069916116.8,14.264785730854719,0.0,inf
82,insert,1151588069916198.2,9.02445751303705,0.0,inf
83,insert,1151588069916629.8,20.771996679236707,0.0,inf
84,insert,1151588069917094.0,21.545235137354034,0.0,inf
85,insert,1151588069917097.5,1.849086988132182,0.0,inf
86,insert,1151588069917157.5,7.749262583092373,0.0,inf
87,insert,1151588069917683.8,22.93905689356546,0.0,inf
88,insert,1151588069917686.5,1.638291043655748,0.0,inf
89,insert,1151588069917747.5,7.807391014873659,0.0,inf
90,insert,1151588069917914.8,12.93146347157204,0.0,inf
91,insert,1151588069918344.0,20.716554226505657,0.0,inf
92,insert,1151588069918682.0,18.384102074182692,0.0,inf
93,insert,1151588069918849.2,12.928135044286009,0.0,inf
94,insert,1151588069918941.5,9.602933552142733,0.0,inf
95,insert,1151588069918972.0,5.514265389719845,0.0,inf
96,insert,1151588069918989.5,4.17869060493274,0.0,inf
97,insert,1151588069919000.5,3.3014064273383905,0.0,inf
98,insert,1151588069919319.0,17.849648552370653,0.0,inf
99,insert,1151588069919913.2,24.377100615185434,0.0,inf
100,insert,1151588069919936.8,4.847606968849169,0.0,inf
101,insert,1151588069919981.8,6.707078129230808,0.0,inf
102,insert,1151588069920135.8,12.413391643181296,0.0,inf
103,insert,1151588069920342.5,14.380222933700418,0.0,inf
104,insert,1151588069920787.8,21.09922270417636,0.0,inf
105,insert,1151588069921047.0,16.101280187516274,0.0,inf
106,insert,1151588069921172.5,11.203095075275261,0.0,inf
107,insert,1151588069921498.8,18.065778662377305,0.0,inf
108,insert,1151588069921747.5,15.773743841894515,0.0,inf
109,insert,1151588069921757.0,3.066498442002686,0.0,inf
110,insert,1151588069921868.0,10.538483089127755,0.0,inf
111,insert,1151588069922671.0,28.338957600737302,0.0,inf
112,insert,1151588069923603.2,30.531449319241347,0.0,inf
113,insert,1151588069923728.2,11.176819556714829,0.0,inf
114,insert,1151588069923849.0,10.986339833377933,0.0,inf
115,insert,1151588069924275.8,20.65967830387876,0.0,inf
116,insert,1151588069924469.2,13.90893391315041,0.0,inf
117,insert,1151588069925091.0,24.933475135432293,0.0,inf
118,insert,1151588069925234.5,11.9806480625134,0.0,inf
119,insert,1151588069925262.8,5.310329447208335,0.0,inf
120,insert,1151588069925263.5,0.8308289362195413,0.0,inf
121,insert,1151588069925278.0,3.8101856199604462,0.0,inf
122,insert,1151588069925278.0,0.19800810117557788,0.0,inf
123,insert,1151588069925480.8,14.242400583733582,0.0,inf
124,insert,1151588069925730.2,15.792672449199905,0.0,inf
125,insert,1151588069925843.8,10.65171503254467,0.0,inf
126,insert,1151588069925848.5,2.153940527738653,0.0,inf
127,insert,1151588069925850.5,1.4186286148697258,0.0,inf
128,insert,1151588069925898.2,6.909643522833498,0.0,inf
129,insert,1151588069926670.2,27.782854920686688,0.0,inf
130,insert,1151588069927676.8,31.724366192424917,0.0,inf
131,insert,1151588069927676.8,0.05047772491466418,0.0,inf
132,insert,1151588069927733.0,7.50680191511483,0.0,inf
133,insert,1151588069927909.0,13.27069117832189,0.0,inf
134,insert,1151588069928194.8,16.904711461260952,0.0,inf
135,insert,1151588069928204.8,3.1679671128067453,0.0,inf
136,insert,1151588069928280.5,8.700970858748132,0.0,inf
137,insert,1151588069928543.0,16.20500586117295,0.0,inf
138,insert,1151588069928563.8,4.559370489234416,0.0,inf
139,insert,1151588069928566.2,1.5850604356282165,0.0,inf
140,insert,1151588069928594.8,5.332565720934203,0.0,inf
141,insert,1151588069928603.2,2.899517347743423,0.0,inf
142,insert,1151588069928717.2,10.67577879213711,0.0,inf
143,insert,1151588069928731.2,3.7297059377308344,0.0,inf
144,insert,1151588069929042.5,17.64314586726035,0.0,inf
145,insert,1151588069929224.2,13.483645859704321,0.0,inf
146,insert,1151588069930018.8,28.18811667680452,0.0,inf
147,insert,1151588069930338.8,17.89199649046096,0.0,inf
148,insert,1151588069930369.0,5.493805321479179,0.0,inf
149,insert,1151588069930530.0,12.691203070802821,0.0,inf
150,insert,1151588069930542.5,3.54398922960982,0.0,inf
151,insert,1151588069930614.5,8.479335607181074,0.0,inf
152,insert,1151588069931453.0,28.95693718938766,0.0,inf
153,insert,1151588069931454.5,1.2644838345462972,0.0,inf
154,insert,1151588069932002.0,23.398282051873103,0.0,inf
155,insert,1151588069932259.0,16.028244066778257,0.0,inf
156,insert,1151588069932445.2,13.649235045917582,0.0,inf
157,insert,1151588069932884.2,20.952156602422278,0.0,inf
158,insert,1151588069932884.5,0.5994038073822452,0.0,inf
159,insert,1151588069933289.0,20.112568352641294,0.0,inf
160,insert,1151588069933289.0,0.1983171032865041,0.0,inf
161,insert,1151588069933291.0,1.4432140163715372,0.0,inf
162,insert,1151588069933291.5,0.7254814234494189,0.0,inf
163,insert,1151588069933379.0,9.358367376029527,0.0,inf
164,insert,1151588069933382.5,1.8817573663940106,0.0,inf
165,insert,1151588069933810.0,20.673529431834886,0.0,inf
166,insert,1151588069934263.5,21.292836344761472,0.0,inf
167,insert,1151588069934365.8,10.108882975761041,0.0,inf
168,insert,1151588069934865.2,22.347195943603417,0.0,inf
169,insert,1151588069935449.0,24.158943815547886,0.0,inf
170,insert,1151588069935577.5,11.331162833907308,0.0,inf
171,insert,1151588069935588.0,3.252656224927989,0.0,inf
172,insert,1151588069936007.2,20.47370885013976,0.0,inf
173,insert,1151588069936024.5,4.164065449265406,0.0,inf
174,insert,1151588069936057.5,5.734056978236721,0.0,inf
175,insert,1151588069936249.8,13.862875815857912,0.0,inf
176,insert,1151588069936250.2,0.7098812106784935,0.0,inf
177,insert,1151588069937363.0,33.3571465740256,0.0,inf
178,insert,1151588069937544.8,13.484212416483919,0.0,inf
179,insert,1151588069938229.5,26.16880158902456,0.0,inf
180,insert,1151588069938261.2,5.627460971003327,0.0,inf
181,insert,1151588069938283.2,4.693914297542102,0.0,inf
182,insert,1151588069938562.8,16.71543118649339,0.0,inf
183,insert,1151588069939076.8,22.67304979826666,0.0,inf
184,insert,1151588069939078.2,1.2013606221295072,0.0,inf
185,insert,1151588069939100.2,4.700205840245793,0.0,inf
186,insert,1151588069939148.5,6.939928741440092,0.0,inf
187,insert,1151588069939210.0,7.845696531933811,0.0,inf
188,insert,1151588069939214.5,2.117293760382884,0.0,inf
189,insert,1151588069939244.0,5.441049598504371,0.0,inf
190,insert,1151588069939787.2,23.305052877406595,0.0,inf
191,insert,1151588069939835.8,6.973086611809681,0.0,inf
192,insert,1151588069939852.8,4.11227283651089,0.0,inf
193,insert,1151588069939868.5,3.9670552951528535,0.0,inf
194,insert,1151588069939898.2,5.453982692747463,0.0,inf
195,insert,1151588069939898.2,0.1272417933452612,0.0,inf
196,insert,1151588069940495.2,24.435396445770067,0.0,inf
197,insert,1151588069940865.0,19.22857200544256,0.0,inf
198,insert,1151588069941063.5,14.093344182193434,0.0,inf
199,insert,1151588069941118.2,7.403243353216213,0.0,inf
200,insert,1151588069941640.2,22.84976398093928,0.0,inf
201,insert,1151588069941795.2,12.4474901816356,0.0,inf
202,insert,1151588069941937.0,11.904522067971849,0.0,inf
203,insert,1151588069942012.5,8.690583814237243,0.0,inf
204,insert,1151588069942017.8,2.2833073704139952,0.0,inf
205,insert,1151588069942638.8,24.919574714964448,0.0,inf
206,insert,1151588069942689.8,7.1358996490631235,0.0,inf
207,insert,1151588069945432.2,52.369596575371574,0.0,inf
208,insert,1151588069945799.0,19.150773340307257,0.0,inf
209,insert,1151588069946309.2,22.59101594777418,0.0,inf
210,insert,1151588069946646.0,18.351154532702314,0.0,inf
211,insert,1151588069946730.5,9.188749086633315,0.0,inf
212,insert,1151588069946789.2,7.67091428818058,0.0,inf
213,insert,1151588069947068.2,16.700846514018583,0.0,inf
214,insert,1151588069947119.5,7.161324392737198,0.0,inf
215,insert,1151588069947727.8,24.66382993055452,0.0,inf
216,insert,1151588069947986.8,16.094899714841404,0.0,inf
217,insert,1151588069948368.8,19.54450140017633,0.0,inf
218,insert,1151588069948541.8,13.154805077854864,0.0,inf
219,insert,1151588069948605.5,7.982259203325249,0.0,inf
220,insert,1151588069948946.5,18.469511671399964,0.0,inf
221,insert,1151588069949151.8,14.329981475050591,0.0,inf
222,insert,1151588069949151.8,0.2768489180180964,0.0,inf
223,insert,1151588069949471.0,17.864277750780154,0.0,inf
224,insert,1151588069949642.2,13.089300551944447,0.0,inf
225,insert,1151588069949703.5,7.832275327279762,0.0,inf
226,insert,1151588069950239.5,23.153445041952295,0.0,inf
227,insert,1151588069950240.0,0.7311453666171586,0.0,inf
228,insert,1151588069950354.5,10.697981159011261,0.0,inf
229,insert,1151588069950364.5,3.160401416691441,0.0,inf
230,insert,1151588069951465.2,33.1763389845869,0.0,inf
231,insert,1151588069951479.8,3.809054110555495,0.0,inf
232,insert,1151588069951479.8,0.03687386548998539,0.0,inf
233,insert,1151588069951542.2,7.9090329428838135,0.0,inf
234,insert,1151588069951643.2,10.046572118474591,0.0,inf
