event,op,regret,acc,eps_spent,capacity_remaining
0,insert,1151588070498474.0,2.2463478137573523,0.0,inf
1,insert,1151588070498476.8,1.6212757731435965,0.0,inf
2,insert,1151588070498476.8,0.08647902267649776,0.0,inf
3,insert,1151588070498478.5,1.3487360108914346,0.0,inf
4,insert,1151588070498478.5,0.07458504678363731,0.0,inf
5,insert,1151588070498481.2,1.6355486523381115,0.0,inf
6,insert,1151588070498482.0,0.8842350692897725,0.0,inf
7,insert,1151588070498482.2,0.5481658016084054,0.0,inf
8,insert,1151588070498485.2,1.7555655211029082,0.0,inf
9,insert,1151588070498490.0,2.1896698578355416,0.0,inf
10,insert,1151588070498524.0,5.821521277632403,0.0,inf
11,insert,1151588070498649.8,11.213701358532632,0.0,inf
12,insert,1151588070498708.2,7.642494377418315,0.0,inf
13,insert,1151588070498718.5,3.212422555272899,0.0,inf
14,insert,1151588070498720.2,1.3615470304769302,0.0,inf
15,insert,1151588070498720.2,0.059371815527877736,0.0,inf
16,insert,1151588070498810.8,9.514727284909354,0.0,inf
17,insert,1151588070498911.0,10.016161520277718,0.0,inf
18,insert,1151588070498911.2,0.4241317246056351,0.0,inf
19,insert,1151588070498925.8,3.796701896984439,0.0,inf
20,insert,1151588070498943.0,4.145325932415661,0.0,inf
21,insert,1151588070498985.2,6.503211840708595,0.0,inf
22,insert,1151588070498988.5,1.7938006050563082,0.0,inf
23,insert,1151588070499009.8,4.606247259098743,0.0,inf
24,insert,1151588070499010.0,0.5254228198561055,0.0,inf
25,insert,1151588070499046.2,6.015673016575072,0.0,inf
26,insert,1151588070499136.8,9.515726016550229,0.0,inf
27,insert,1151588070499147.0,3.208857980866644,0.0,inf
28,insert,1151588070499147.5,0.7069613063495841,0.0,inf
29,insert,1151588070499181.2,5.8138821687865265,0.0,inf
30,insert,1151588070499253.2,8.482978032527413,0.0,inf
31,insert,1151588070499255.2,1.4077192094062383,0.0,inf
32,insert,1151588070499258.2,1.7637547304825454,0.0,inf
33,insert,1151588070499260.8,1.6027854927384677,0.0,inf
34,insert,1151588070499261.2,0.7742857293310694,0.0,inf
35,insert,1151588070499266.0,2.1571407910452693,0.0,inf
36,insert,1151588070499281.8,3.966590327276567,0.0,inf
