event,op,regret,acc,eps_spent,capacity_remaining
0,insert,4.0,2.0,0.0,inf
1,insert,658991102155688.0,25670822.0,0.0,inf
2,insert,695156384538067.5,6013757.7588708615,0.0,inf
3,insert,696292128432959.8,1065712.8576179845,0.0,inf
4,insert,696304406259469.4,110805.3541560066,0.0,inf
5,insert,696862885364457.9,747314.5957283052,0.0,inf
6,insert,696870709647914.4,88454.97982890118,0.0,inf
7,insert,696870862654869.0,12369.59799985736,0.0,inf
8,insert,696885406031941.6,120595.92477641476,0.0,inf
9,insert,696935862410230.2,224624.97254011192,0.0,inf
10,insert,698611707258388.8,1294544.2627266352,0.0,inf
11,insert,699866743719832.2,1120284.0985408342,0.0,inf
12,insert,700425903990786.2,747770.199295181,0.0,inf
13,insert,700643298359444.9,466255.6902158184,0.0,inf
14,insert,700719494091262.2,276035.74373134214,0.0,inf
15,insert,700810037771071.5,300904.76867148816,0.0,inf
16,insert,700951153023610.0,375653.1013295544,0.0,inf
17,insert,701302508472421.6,592752.4346737489,0.0,inf
18,insert,701482720696291.8,424514.1032640645,0.0,inf
19,insert,701529308200044.8,215841.3856355086,0.0,inf
20,insert,701574079978749.6,211593.42783944865,0.0,inf
21,insert,701788469354865.8,463022.0039221492,0.0,inf
22,insert,701869493357158.8,284647.15402220684,0.0,inf
23,insert,701871222752006.9,41585.993413320626,0.0,inf
24,insert,702069728496505.8,445539.8349181372,0.0,inf
25,insert,702275460138290.1,453576.500476402,0.0,inf
26,insert,702968805671884.2,832673.7257738784,0.0,inf
27,insert,703350898892127.9,618136.8944203628,0.0,inf
28,insert,703599471078110.1,498570.14148690936,0.0,inf
29,insert,703674850955552.9,274553.96089429315,0.0,inf
30,insert,703985295718692.5,557175.7022157342,0.0,inf
31,insert,704147210054083.8,402385.80416222394,0.0,inf
32,insert,704379837898381.5,482315.088192127,0.0,inf
33,insert,704440149426054.8,245584.05419180542,0.0,inf
34,insert,705176983776809.8,858390.5584027278,0.0,inf
35,insert,705607474799028.6,656118.1465398273,0.0,inf
36,insert,706030474522736.2,650384.289253391,0.0,inf
37,insert,706268092603111.1,487460.850094478,0.0,inf
38,insert,706415104563531.2,383421.3875361475,0.0,inf
39,insert,706434985155516.2,140998.5531306641,0.0,inf
40,insert,706676414958925.9,491355.0685701821,0.0,inf
41,insert,706958481538271.0,531099.4062745569,0.0,inf
42,insert,707169694409135.4,459579.01482155407,0.0,inf
43,insert,707932158159018.1,873191.7028252097,0.0,inf
44,insert,708022804420763.4,301075.1762355956,0.0,inf
45,insert,708075950405580.8,230534.12939820986,0.0,inf
46,insert,708149550193377.0,271292.80822795,0.0,inf
47,insert,708532128764339.8,618529.361439513,0.0,inf
48,insert,708572535271970.9,201013.70010800756,0.0,inf
49,insert,708821676447508.6,499140.4366887124,0.0,inf
50,insert,709113115335203.1,539850.8013280582,0.0,inf
51,insert,709114186878598.4,32734.437450342783,0.0,inf
52,insert,709404317310041.9,538637.5696546987,0.0,inf
53,insert,709440201078942.6,189430.1161399635,0.0,inf
54,insert,709442350842638.8,46365.54427725315,0.0,inf
55,insert,709476574693988.5,184996.89551391432,0.0,inf
56,insert,710002168933913.1,724978.7858444988,0.0,inf
57,insert,710019280277200.9,130810.33326067269,0.0,inf
58,insert,710730542697684.4,843363.7533612248,0.0,inf
59,insert,711743396856380.4,1006406.5573594032,0.0,inf
60,insert,711744815473284.9,37664.53112053999,0.0,inf
61,insert,711941633400303.5,443641.66510660725,0.0,inf
62,insert,711954361508398.9,112818.91727639065,0.0,inf
63,insert,712368471045083.5,643513.4316272223,0.0,inf
64,insert,712369570259609.9,33154.40432854826,0.0,inf
65,insert,712547755269524.4,422119.6630275796,0.0,inf
66,insert,712719032169050.5,413856.1338509963,0.0,inf
67,insert,712779838410291.2,246589.21558088335,0.0,inf
68,insert,712798654384125.6,137171.3302202602,0.0,inf
69,insert,712799090695642.5,20888.071163499495,0.0,inf
70,insert,713061046258286.6,511815.9460627272,0.0,inf
71,insert,713112354531535.1,226513.2959639427,0.0,inf
72,insert,713639830345270.9,726275.3016148324,0.0,inf
73,insert,713820590433485.0,425158.89760664606,0.0,inf
74,insert,714081385838229.4,510681.31426978455,0.0,inf
75,insert,714121748009138.6,200903.38700305883,0.0,inf
76,insert,714123916954112.6,46571.93332931929,0.0,inf
77,insert,714335720948050.0,460221.67912582913,0.0,inf
78,insert,714337045419100.6,36393.283043441275,0.0,inf
79,insert,714706473557089.5,607806.0035808446,0.0,inf
80,insert,715611855592532.1,951515.6517065931,0.0,inf
81,insert,715621035666657.2,95812.70335990735,0.0,inf
82,insert,717276120658738.8,1286501.0657133241,0.0,inf
83,insert,717301234158051.4,158472.39290386118,0.0,inf
84,insert,717931594776124.8,793952.5288537879,0.0,inf
85,insert,718265136377164.2,577530.606149617,0.0,inf
86,insert,718265425786023.2,17012.021014298516,0.0,inf
87,insert,718337481749586.5,268432.418986998,0.0,inf
88,insert,718366479308990.6,170286.69767223435,0.0,inf
