event,op,regret,acc,eps_converted,delta_total,eps_remaining
0,calibrate,0.0,0.2744785455934125,0.0,1e-05,1.0
1,calibrate,0.0,3.4907304822137624,0.0,1e-05,1.0
2,calibrate,0.0,2.082174587767515,0.0,1e-05,1.0
3,calibrate,0.0,9.43040799891018,0.0,1e-05,1.0
4,calibrate,0.0,1.057190309752503,0.0,1e-05,1.0
5,calibrate,0.0,5.578457865436903,0.0,1e-05,1.0
6,calibrate,0.0,5.080344264225419,0.0,1e-05,1.0
7,calibrate,0.0,1.5039039719897138,0.0,1e-05,1.0
8,calibrate,0.0,5.881631011679408,0.0,1e-05,1.0
9,calibrate,0.0,0.6496397868154202,0.0,1e-05,1.0
10,calibrate,0.0,4.558314595956466,0.0,1e-05,1.0
11,calibrate,0.0,6.293410895134161,0.0,1e-05,1.0
12,calibrate,0.0,0.10945940981365077,0.0,1e-05,1.0
13,calibrate,0.0,1.0250115728458111,0.0,1e-05,1.0
14,calibrate,0.0,2.8986283085782345,0.0,1e-05,1.0
15,calibrate,0.0,1.8237388811754378,0.0,1e-05,1.0
16,calibrate,0.0,2.9848598470244667,0.0,1e-05,1.0
17,calibrate,0.0,0.7139133505318707,0.0,1e-05,1.0
18,calibrate,0.0,1.1761659575202692,0.0,1e-05,1.0
19,calibrate,0.0,6.706868101252631,0.0,1e-05,1.0
20,calibrate,0.0,0.13767479242152625,0.0,1e-05,1.0
21,calibrate,0.0,10.069654163524618,0.0,1e-05,1.0
22,calibrate,0.0,6.632242652041134,0.0,1e-05,1.0
23,calibrate,0.0,1.4796730501943456,0.0,1e-05,1.0
24,calibrate,0.0,5.393730003093387,0.0,1e-05,1.0
25,calibrate,0.0,4.8629562777004445,0.0,1e-05,1.0
26,calibrate,0.0,0.5147355675530219,0.0,1e-05,1.0
27,calibrate,0.0,1.3309343271337113,0.0,1e-05,1.0
28,calibrate,0.0,2.817247565134321,0.0,1e-05,1.0
29,calibrate,0.0,0.6200652380987401,0.0,1e-05,1.0
30,calibrate,0.0,4.986720239156826,0.0,1e-05,1.0
31,calibrate,0.0,2.4095192632016573,0.0,1e-05,1.0
32,calibrate,0.0,2.1746370698782047,0.0,1e-05,1.0
33,calibrate,0.0,2.2232512598179666,0.0,1e-05,1.0
34,calibrate,0.0,0.08002746368266789,0.0,1e-05,1.0
35,calibrate,0.0,0.2465264284123143,0.0,1e-05,1.0
36,calibrate,0.0,2.322781198794989,0.0,1e-05,1.0
37,calibrate,0.0,0.9787212868933306,0.0,1e-05,1.0
38,calibrate,0.0,1.3688143480348351,0.0,1e-05,1.0
39,calibrate,0.0,0.3391073937230663,0.0,1e-05,1.0
40,calibrate,0.0,4.1665953075142275,0.0,1e-05,1.0
41,calibrate,0.0,0.850000945548488,0.0,1e-05,1.0
42,calibrate,0.0,2.478186567207201,0.0,1e-05,1.0
43,calibrate,0.0,0.6936596222811211,0.0,1e-05,1.0
44,calibrate,0.0,3.0666546232918734,0.0,1e-05,1.0
45,calibrate,0.0,2.4789384119864173,0.0,1e-05,1.0
46,calibrate,0.0,1.2394274208753298,0.0,1e-05,1.0
47,calibrate,0.0,2.799406827116453,0.0,1e-05,1.0
48,calibrate,0.0,1.3042697845406774,0.0,1e-05,1.0
49,calibrate,0.0,8.935650424906324,0.0,1e-05,1.0
50,calibrate,0.0,0.9044945337345274,0.0,1e-05,1.0
51,calibrate,0.0,0.5507947005132467,0.0,1e-05,1.0
52,calibrate,0.0,0.9329989127879585,0.0,1e-05,1.0
53,calibrate,0.0,0.29602646339715877,0.0,1e-05,1.0
54,calibrate,0.0,3.2545105020809855,0.0,1e-05,1.0
55,calibrate,0.0,6.309405519871804,0.0,1e-05,1.0
56,calibrate,0.0,2.319837945534565,0.0,1e-05,1.0
57,calibrate,0.0,0.5906059505400609,0.0,1e-05,1.0
58,calibrate,0.0,0.3712907212686334,0.0,1e-05,1.0
59,calibrate,0.0,3.0389301147231116,0.0,1e-05,1.0
60,calibrate,0.0,1.3055419610759502,0.0,1e-05,1.0
61,calibrate,0.0,3.266477676990747,0.0,1e-05,1.0
62,calibrate,0.0,2.424515568220273,0.0,1e-05,1.0
63,calibrate,0.0,1.5119898549345976,0.0,1e-05,1.0
64,calibrate,0.0,0.5137349358933303,0.0,1e-05,1.0
65,calibrate,0.0,1.7479763581441432,0.0,1e-05,1.0
66,calibrate,0.0,0.08417788448655283,0.0,1e-05,1.0
67,calibrate,0.0,0.8324019697910652,0.0,1e-05,1.0
68,calibrate,0.0,1.9322797680287827,0.0,1e-05,1.0
69,calibrate,0.0,3.018696764064501,0.0,1e-05,1.0
70,calibrate,0.0,0.20138135382742295,0.0,1e-05,1.0
71,calibrate,0.0,3.240942156028025,0.0,1e-05,1.0
72,calibrate,0.0,0.49329278115900976,0.0,1e-05,1.0
73,calibrate,0.0,1.290957253362425,0.0,1e-05,1.0
74,calibrate,0.0,1.1586930308331505,0.0,1e-05,1.0
75,calibrate,0.0,0.5763796116080031,0.0,1e-05,1.0
76,calibrate,0.0,0.14098775869630176,0.0,1e-05,1.0
77,calibrate,0.0,0.1396565506878913,0.0,1e-05,1.0
78,calibrate,0.0,2.1609901617851808,0.0,1e-05,1.0
79,calibrate,0.0,0.43513250685590066,0.0,1e-05,1.0
80,calibrate,0.0,4.152608055317487,0.0,1e-05,1.0
81,calibrate,0.0,0.472188724867322,0.0,1e-05,1.0
82,calibrate,0.0,2.8127961308511944,0.0,1e-05,1.0
83,calibrate,0.0,1.1476002320924656,0.0,1e-05,1.0
84,calibrate,0.0,0.9249373579582141,0.0,1e-05,1.0
85,calibrate,0.0,0.08639472170680085,0.0,1e-05,1.0
86,calibrate,0.0,0.4549006686693349,0.0,1e-05,1.0
87,calibrate,0.0,3.2779844317524685,0.0,1e-05,1.0
88,calibrate,0.0,3.745680836090409,0.0,1e-05,1.0
89,calibrate,0.0,0.0974386348070615,0.0,1e-05,1.0
90,calibrate,0.0,3.1168617892661405,0.0,1e-05,1.0
91,calibrate,0.0,0.5068062050986641,0.0,1e-05,1.0
92,calibrate,0.0,2.592000451328731,0.0,1e-05,1.0
93,calibrate,0.0,2.66834093161802,0.0,1e-05,1.0
94,calibrate,0.0,0.10053904228550548,0.0,1e-05,1.0
95,calibrate,0.0,0.5526042090889489,0.0,1e-05,1.0
96,calibrate,0.0,0.1753987296832058,0.0,1e-05,1.0
97,calibrate,0.0,0.1204182719242084,0.0,1e-05,1.0
98,calibrate,0.0,1.1371290357636923,0.0,1e-05,1.0
99,calibrate,0.0,0.03455183677828244,0.0,1e-05,1.0
100,calibrate,0.0,0.6815728016973095,0.0,1e-05,1.0
101,calibrate,0.0,0.8784385443972744,0.0,1e-05,1.0
102,calibrate,0.0,1.1774160214508234,0.0,1e-05,1.0
103,calibrate,0.0,1.2698714755054445,0.0,1e-05,1.0
104,calibrate,0.0,1.0516569300328502,0.0,1e-05,1.0
105,calibrate,0.0,1.2696059340623682,0.0,1e-05,1.0
106,calibrate,0.0,0.16488868496566988,0.0,1e-05,1.0
107,calibrate,0.0,1.5089318286762996,0.0,1e-05,1.0
108,calibrate,0.0,0.8731988462085303,0.0,1e-05,1.0
109,calibrate,0.0,0.40687358479406033,0.0,1e-05,1.0
110,calibrate,0.0,1.1854722654130638,0.0,1e-05,1.0
111,calibrate,0.0,0.05272255278023108,0.0,1e-05,1.0
112,calibrate,0.0,0.5275716468322784,0.0,1e-05,1.0
113,calibrate,0.0,0.5731253933195042,0.0,1e-05,1.0
114,calibrate,0.0,0.1773392141572081,0.0,1e-05,1.0
115,calibrate,0.0,0.903990410996401,0.0,1e-05,1.0
116,calibrate,0.0,0.7188237296112545,0.0,1e-05,1.0
117,calibrate,0.0,2.309527000887634,0.0,1e-05,1.0
118,calibrate,0.0,0.10579976422895454,0.0,1e-05,1.0
119,calibrate,0.0,1.391819079628807,0.0,1e-05,1.0
120,calibrate,0.0,1.6944453068147354,0.0,1e-05,1.0
121,calibrate,0.0,1.8380954768021098,0.0,1e-05,1.0
122,calibrate,0.0,0.9499900443493425,0.0,1e-05,1.0
123,calibrate,0.0,0.8613837208735515,0.0,1e-05,1.0
124,calibrate,0.0,0.5934535830206062,0.0,1e-05,1.0
125,calibrate,0.0,1.0301022311396923,0.0,1e-05,1.0
126,calibrate,0.0,2.225029923374281,0.0,1e-05,1.0
127,calibrate,0.0,0.6678001729432146,0.0,1e-05,1.0
128,calibrate,0.0,0.2752027964298541,0.0,1e-05,1.0
129,calibrate,0.0,1.152869754530462,0.0,1e-05,1.0
130,calibrate,0.0,2.211292850666398,0.0,1e-05,1.0
131,calibrate,0.0,0.1624233020503345,0.0,1e-05,1.0
132,calibrate,0.0,1.2512333065157573,0.0,1e-05,1.0
133,calibrate,0.0,1.2198494707202117,0.0,1e-05,1.0
134,calibrate,0.0,1.997912925271308,0.0,1e-05,1.0
135,calibrate,0.0,0.5101519741586165,0.0,1e-05,1.0
136,calibrate,0.0,0.17972819041760957,0.0,1e-05,1.0
137,calibrate,0.0,2.51490932500524,0.0,1e-05,1.0
138,calibrate,0.0,0.22715032951539849,0.0,1e-05,1.0
139,calibrate,0.0,1.4879371993792787,0.0,1e-05,1.0
140,calibrate,0.0,2.042821481211217,0.0,1e-05,1.0
141,calibrate,0.0,0.2994663387203369,0.0,1e-05,1.0
142,calibrate,0.0,0.7693091488918,0.0,1e-05,1.0
143,calibrate,0.0,0.4570085440213836,0.0,1e-05,1.0
144,calibrate,0.0,0.6684500296283824,0.0,1e-05,1.0
145,calibrate,0.0,0.03469098458625375,0.0,1e-05,1.0
146,calibrate,0.0,0.2402821437788436,0.0,1e-05,1.0
147,calibrate,0.0,0.9500434348411506,0.0,1e-05,1.0
148,calibrate,0.0,0.5593166555433071,0.0,1e-05,1.0
149,calibrate,0.0,0.7461833221700136,0.0,1e-05,1.0
150,calibrate,0.0,0.47680010468319506,0.0,1e-05,1.0
151,calibrate,0.0,0.16263245447353647,0.0,1e-05,1.0
152,calibrate,0.0,0.28681448050359304,0.0,1e-05,1.0
153,calibrate,0.0,0.03957432104706804,0.0,1e-05,1.0
154,calibrate,0.0,0.40414161769499346,0.0,1e-05,1.0
155,calibrate,0.0,0.9382281648008783,0.0,1e-05,1.0
156,calibrate,0.0,0.27321352366069407,0.0,1e-05,1.0
157,calibrate,0.0,0.5101307046073131,0.0,1e-05,1.0
158,calibrate,0.0,0.5636119532673529,0.0,1e-05,1.0
159,calibrate,0.0,0.07342957864993194,0.0,1e-05,1.0
160,calibrate,0.0,0.1528925112945485,0.0,1e-05,1.0
161,calibrate,0.0,0.2668231423872056,0.0,1e-05,1.0
162,calibrate,0.0,0.2445746731694316,0.0,1e-05,1.0
163,calibrate,0.0,0.6342611835791003,0.0,1e-05,1.0
164,calibrate,0.0,0.16055402052828605,0.0,1e-05,1.0
165,calibrate,0.0,0.6077559325549435,0.0,1e-05,1.0
166,calibrate,0.0,0.7266513961848635,0.0,1e-05,1.0
167,calibrate,0.0,0.3395098477535914,0.0,1e-05,1.0
168,calibrate,0.0,0.08189725253617519,0.0,1e-05,1.0
169,calibrate,0.0,0.03946427819891918,0.0,1e-05,1.0
170,calibrate,0.0,0.6083567415076911,0.0,1e-05,1.0
171,calibrate,0.0,0.2996402706658605,0.0,1e-05,1.0
