acc,capacity_remaining,eps_spent,event,op,regret
0.02198831837320192,1.0,0.0,83748,insert,1628.6442867029389
0.0684017309611824,1.0,0.0,83749,insert,1628.6466261013381
0.041378833330882436,1.0,0.0,83750,insert,1628.6474822052621
0.10895777065480594,1.0,0.0,83751,insert,1628.6534181031552
0.009294830330061288,1.0,0.0,83752,insert,1628.6534613000906
0.1665702602754755,1.0,0.0,83753,insert,1628.6673341258947
0.15671396829059936,1.0,0.0,83754,insert,1628.6796137598235
0.127283239369391,1.0,0.0,83755,insert,1628.6877142713356
0.12084211389968047,1.0,0.0,83756,insert,1628.6950156795815
0.19639737243907263,1.0,0.0,83757,insert,1628.714301643532
0.12395048134844155,0.0,1.0,83758,delete,1628.7219835044452
