dataset,seed,m_theory_final,m_emp_final,spearman_corr,timeline_length
synthetic,1,4.976991677831842,4.975936262951108,0.9992079207920791,100
synthetic,2,5.41969218930763,5.44005406739472,0.9993879387938793,100
synthetic,3,4.56889679803223,4.61727508241296,0.9994359435943594,100
covtype,1,4.8671672273948445,4.7947657760879725,0.9990999099909991,100
covtype,2,4.650942931527996,4.671603151117144,0.999003900390039,100
covtype,3,4.936727001850391,4.976152744552579,0.9994719471947193,100
mnist,1,5.2979914747703605,5.263211323507138,0.999147914791479,100
mnist,2,5.636707071745494,5.679783417178998,0.9993999399939993,100
mnist,3,5.095183854719606,5.022364353666025,0.9993759375937593,100
