event,op,regret,acc,eps_spent,capacity_remaining
40,insert,134188964560848.77,366892.0240495224,0.0,1.0
41,insert,134195036704251.05,110201.11979716162,0.0,1.0
42,insert,134224098427238.77,241088.04610649112,0.0,1.0
43,insert,134252356240264.64,237730.15385462475,0.0,1.0
44,insert,134258015611862.11,106389.58217298906,0.0,1.0
45,insert,134270968867651.03,160954.99861090313,0.0,1.0
46,insert,134273151518344.48,66070.42747628957,0.0,1.0
47,insert,134293776513244.36,203100.93500464706,0.0,1.0
48,insert,134294775819958.84,44705.85452690697,0.0,1.0
49,insert,134307412236551.1,158974.31611580148,0.0,1.0
50,insert,134317496386494.56,142015.13963984352,0.0,1.0
51,insert,134317499996192.78,2686.8934560076887,0.0,1.0
52,insert,134317647761523.5,17191.00524783488,0.0,1.0
53,insert,134320883990688.28,80451.58997535073,0.0,1.0
54,insert,134320951950373.52,11658.446314578687,0.0,1.0
55,insert,134325112864051.08,91224.0503108626,0.0,1.0
56,insert,134336380422633.83,150117.0115792983,0.0,1.0
57,insert,134346471467335.98,142063.68080662293,0.0,1.0
58,insert,134365256179570.53,193828.33763177902,0.0,1.0
59,insert,134398758580179.67,258852.8563069606,0.0,1.0
60,insert,134413073054782.72,169200.91372714023,0.0,1.0
61,insert,134413273201956.25,20007.35732312822,0.0,1.0
62,insert,134416011722364.84,74007.03221434733,0.0,1.0
63,insert,134438356494760.23,211399.01795132528,0.0,1.0
64,insert,134468268511238.2,244589.5193092522,0.0,1.0
65,insert,134471891045822.25,85117.97206292303,0.0,1.0
66,insert,134476532003313.84,96342.69553615716,0.0,1.0
67,insert,134485701464501.38,135421.27740886935,0.0,1.0
68,insert,134486914027280.25,49245.563838281,0.0,1.0
69,insert,134487241604067.12,25595.96791996443,0.0,1.0
70,insert,134514813934153.12,234829.00198230753,0.0,1.0
71,insert,134596797324362.97,404928.1175958192,0.0,1.0
72,insert,134600427563823.69,85208.44395612863,0.0,1.0
73,insert,134623431916482.78,214496.39931285553,0.0,1.0
74,insert,134623435903682.03,2823.8977470318714,0.0,1.0
75,insert,134624896951934.33,54056.41964271206,0.0,1.0
76,insert,134626154304066.94,50146.827070309926,0.0,1.0
77,insert,134628058251387.62,61708.1408030905,0.0,1.0
78,insert,134636708183782.78,131528.95038853178,0.0,1.0
79,insert,134643738725086.72,118579.43585572887,0.0,1.0
80,insert,134688372597263.98,298777.0813742549,0.0,1.0
81,insert,134712190268931.14,218255.22521653963,0.0,1.0
82,insert,134748703776129.81,270235.10948312294,0.0,1.0
83,insert,134762878771110.5,168374.5525944612,0.0,1.0
84,insert,134778483867782.08,176664.06919109361,0.0,1.0
85,insert,134778618297405.61,16396.927976679923,0.0,1.0
86,insert,134781879301642.86,80758.95290621686,0.0,1.0
87,insert,134783614473751.61,58909.6275449815,0.0,1.0
88,insert,134790121093025.31,114075.58260829089,0.0,1.0
89,insert,134825097131869.45,264484.5509444123,0.0,1.0
90,insert,134828981892357.64,88144.88627462364,0.0,1.0
91,insert,134868427780901.17,280876.8005497465,0.0,1.0
92,insert,134868551842734.83,15751.941699603543,0.0,1.0
93,insert,134958030988141.22,423034.62129331025,0.0,1.0
94,insert,134959234456200.72,49060.53524984747,0.0,1.0
95,insert,134962337887786.33,78783.64786688259,0.0,1.0
96,insert,134963113892340.73,39395.5468144658,0.0,1.0
97,insert,134963128281716.7,5364.583109585219,0.0,1.0
98,insert,134968297853961.14,101681.58382363737,0.0,1.0
99,insert,134968302898401.36,3176.299800888519,0.0,1.0
100,insert,134970207091118.27,61712.117398620045,0.0,1.0
101,insert,134989027552119.39,194012.6851581197,0.0,1.0
102,insert,135024894053625.62,267830.17569435935,0.0,1.0
103,insert,135038781188760.69,166656.14381152927,0.0,1.0
104,insert,135039100107569.7,25255.447294486366,0.0,1.0
105,insert,135042650253660.38,84263.2314911449,0.0,1.0
106,insert,135046151790924.53,83684.37445738725,0.0,1.0
107,insert,135055186405468.95,134421.83263457497,0.0,1.0
108,insert,135065513216498.8,143713.68083689583,0.0,1.0
109,insert,135123914027299.83,341762.52223155054,0.0,1.0
110,insert,135128995922597.92,100815.62674604557,0.0,1.0
111,insert,135183488113558.8,330127.82663955895,0.0,1.0
112,insert,135190654839498.31,119722.39506055304,0.0,1.0
113,insert,135191251773641.17,34552.39913128935,0.0,1.0
114,insert,135203267645061.42,155021.7495724625,0.0,1.0
115,insert,135204208865596.14,43387.10717970072,0.0,1.0
116,insert,135204918971482.7,37685.69719573871,0.0,1.0
117,insert,135210089979921.89,101695.70727598968,0.0,1.0
118,insert,135230545430543.75,202264.43395645078,0.0,1.0
119,insert,135238441803866.34,125669.1952914038,0.0,1.0
120,insert,135251200188042.61,159739.6893465214,0.0,1.0
121,insert,135252277213877.23,46411.762186586726,0.0,1.0
122,insert,135261039387755.1,132379.55943313474,0.0,1.0
123,insert,135267591601138.17,114474.56820691343,0.0,1.0
124,insert,135274954234174.08,121347.70731994043,0.0,1.0
125,insert,135275577831132.4,35315.632751570876,0.0,1.0
126,insert,135278385611400.02,74937.04381155051,0.0,1.0
127,insert,135280860020644.83,70347.83926771034,0.0,1.0
128,insert,135288569456796.72,124172.75185716474,0.0,1.0
129,insert,135305312541317.03,182992.26497483384,0.0,1.0
130,insert,135316008499086.66,146259.75365513202,0.0,1.0
131,insert,135319644259314.5,85273.2106566197,0.0,1.0
132,insert,135319803188828.28,17828.601391520606,0.0,1.0
133,insert,135321157254471.48,52039.70874638166,0.0,1.0
134,insert,135336028630875.94,172460.87326954262,0.0,1.0
135,insert,135348311641891.86,156735.51617885532,0.0,1.0
136,insert,135350095982792.11,59738.44491185567,0.0,1.0
137,insert,135350114698809.08,6118.17243377761,0.0,1.0
138,insert,135350257647764.7,16908.515938757206,0.0,1.0
139,insert,135373357106248.95,214939.3332279841,0.0,1.0
140,insert,135387145678632.9,166063.67684684554,0.0,1.0
141,insert,135387513947078.78,27139.21317487728,0.0,1.0
142,insert,135387897097635.83,27682.144319104773,0.0,1.0
143,insert,135388401955857.33,31776.035671565565,0.0,1.0
144,insert,135401709037471.06,163138.4786843913,0.0,1.0
145,insert,135402330234752.94,35247.61784504929,0.0,1.0
146,insert,135412594228490.39,143275.91379890413,0.0,1.0
147,insert,135469836089403.7,338354.4322550444,0.0,1.0
148,insert,135472232766098.94,69234.04791337985,0.0,1.0
149,insert,135472545941179.38,25026.9886495182,0.0,1.0
150,insert,135473679068349.78,47605.19237245485,0.0,1.0
151,insert,135477872995465.02,91585.22932469078,0.0,1.0
152,insert,135534954997295.47,337881.6414972716,0.0,1.0
153,insert,135545694105700.48,146554.48410075955,0.0,1.0
154,insert,135547057588952.5,52220.36484016629,0.0,1.0
155,insert,135559102767141.89,155210.6838422477,0.0,1.0
156,insert,135585853740851.66,231304.87980049994,0.0,1.0
157,insert,135587437141830.48,56274.3454663342,0.0,1.0
158,insert,135596455321828.45,134299.5159929904,0.0,1.0
159,insert,135606618108977.19,142567.78842874046,0.0,1.0
160,insert,135621183225340.84,170675.8117816498,0.0,1.0
161,insert,135631267057839.4,142012.90433306136,0.0,1.0
162,insert,135661216530273.92,244742.60942678913,0.0,1.0
163,insert,135667015972755.33,107698.11958807801,0.0,1.0
164,insert,135694416181700.31,234094.89078139918,0.0,1.0
165,insert,135713597623750.61,195864.45338704868,0.0,1.0
166,insert,135725507075542.05,154333.74090868694,0.0,1.0
167,insert,135733080691045.5,123074.08747133597,0.0,1.0
168,insert,135750245788935.33,185284.0947832964,0.0,1.0
169,insert,135750306015777.55,10975.139380866975,0.0,1.0
170,insert,135825278065255.2,387226.15995734965,0.0,1.0
171,insert,135847346211084.06,210086.39093885504,0.0,1.0
172,insert,135847730625867.88,27727.776102948093,0.0,1.0
173,insert,135848242234950.4,31987.781496570213,0.0,1.0
174,insert,135862298889068.03,167670.23658137227,0.0,1.0
175,insert,135876782870651.97,170199.77428853477,0.0,1.0
176,insert,135915732848868.11,279105.63669028593,0.0,1.0
177,insert,135936750715386.72,205026.17646833626,0.0,1.0
178,insert,135936775469591.56,7036.221265799832,0.0,1.0
179,insert,135936822658982.88,9714.874298410028,0.0,1.0
180,insert,135936871033064.33,9836.064401202239,0.0,1.0
181,insert,135950381383376.16,164379.74517456666,0.0,1.0
182,insert,135952026145080.75,57354.36695822507,0.0,1.0
183,insert,135969058946666.14,184568.69499130768,0.0,1.0
184,insert,136008234814790.69,279913.80146231985,0.0,1.0
185,insert,136008839063488.33,34763.44912826564,0.0,1.0
186,insert,136015322056202.55,113868.2810463121,0.0,1.0
187,insert,136016273826897.4,43629.593050243886,0.0,1.0
188,insert,136018331665288.17,64153.540678141726,0.0,1.0
189,insert,136031393580939.48,161628.6834155288,0.0,1.0
190,insert,136051326833152.73,199665.9821464689,0.0,1.0
191,insert,136053725501661.78,69262.81121993165,0.0,1.0
192,insert,136053953104703.17,21335.559115559437,0.0,1.0
193,insert,136078909094804.05,223409.89280187731,0.0,1.0
194,insert,136079066734517.55,17756.109568433996,0.0,1.0
195,insert,136093003374820.83,166952.92931411706,0.0,1.0
196,insert,136098398465084.28,103875.79374861784,0.0,1.0
197,insert,136100760491067.11,68731.73914322363,0.0,1.0
198,insert,136108489581016.97,124330.92897473977,0.0,1.0
199,insert,136147447992280.83,279135.8495925076,0.0,1.0
200,insert,136191630038128.06,297260.982462339,0.0,1.0
201,insert,136192053797823.31,29112.18628840759,0.0,1.0
202,insert,136195867296818.42,87332.68569220585,0.0,1.0
203,insert,136202586388950.36,115923.18259890933,0.0,1.0
204,insert,136203027204097.3,29692.259831302625,0.0,1.0
205,insert,136218247813597.62,174474.12129208574,0.0,1.0
206,insert,136233206593789.05,172966.93436273327,0.0,1.0
207,insert,136267399500604.67,261506.81373771973,0.0,1.0
208,insert,136271174681105.44,86892.8132905252,0.0,1.0
209,insert,136271305671630.19,16185.828662789492,0.0,1.0
210,insert,136271843177222.2,32787.36317615334,0.0,1.0
211,insert,136330409548761.16,342246.61149223335,0.0,1.0
212,insert,136336884487016.84,113797.5241883051,0.0,1.0
213,insert,136359093434228.77,210755.53236832423,0.0,1.0
214,insert,136369852827009.28,146692.8272310538,0.0,1.0
215,insert,136369934934992.92,12814.677806157735,0.0,1.0
216,insert,136391071576831.94,205604.67815213703,0.0,1.0
217,insert,136391299890557.05,21368.84297819309,0.0,1.0
