step,regret
22900,[5.54695488e+09]
23000,[5.5469549e+09]
23100,[5.54695492e+09]
23200,[5.54695493e+09]
23300,[5.54695495e+09]
23400,[5.54695496e+09]
23500,[5.54695497e+09]
23600,[5.54695498e+09]
23700,[5.54695499e+09]
23800,[5.546955e+09]
23900,[5.54695502e+09]
24000,[5.54695503e+09]
24100,[5.54695504e+09]
24200,[5.54695505e+09]
24300,[5.54695507e+09]
24400,[5.54695509e+09]
24500,[5.5469551e+09]
24600,[5.54695511e+09]
24700,[5.54695514e+09]
24800,[5.54695516e+09]
24900,[5.54695517e+09]
25000,[5.54695518e+09]
25100,[5.54695519e+09]
25200,[5.54695521e+09]
25300,[5.54695524e+09]
25400,[5.54695526e+09]
25500,[5.54695528e+09]
25600,[5.54695531e+09]
25700,[5.54695532e+09]
25800,[5.54695534e+09]
25900,[5.54695536e+09]
26000,[5.54695537e+09]
26100,[5.54695539e+09]
26200,[5.5469554e+09]
26300,[5.54695542e+09]
26400,[5.54695545e+09]
26500,[5.54695546e+09]
26600,[5.54695548e+09]
26700,[5.54695551e+09]
26800,[5.54695552e+09]
26900,[5.54695553e+09]
27000,[5.54695554e+09]
27100,[5.54695556e+09]
27200,[5.54695556e+09]
27300,[5.54695558e+09]
27400,[5.54695559e+09]
27500,[5.5469556e+09]
27600,[5.54695561e+09]
27700,[5.54695562e+09]
27800,[5.54695563e+09]
27900,[5.54695564e+09]
28000,[5.54695566e+09]
28100,[5.54695569e+09]
28200,[5.5469557e+09]
28300,[5.54695572e+09]
28400,[5.54695574e+09]
28500,[5.54695575e+09]
28600,[5.54695577e+09]
28700,[5.54695578e+09]
28800,[5.54695579e+09]
28900,[5.5469558e+09]
29000,[5.54695583e+09]
29100,[5.54695584e+09]
29200,[5.54695584e+09]
29300,[5.54695586e+09]
29400,[5.54695586e+09]
29500,[5.54695588e+09]
29600,[5.54695589e+09]
29700,[5.5469559e+09]
29800,[5.54695591e+09]
29900,[5.54695592e+09]
30000,[5.54695593e+09]
30100,[5.54695594e+09]
30200,[5.54695596e+09]
30300,[5.54695597e+09]
30400,[5.54695598e+09]
30500,[5.54695599e+09]
30600,[5.546956e+09]
30700,[5.546956e+09]
30800,[5.54695601e+09]
30900,[5.54695602e+09]
31000,[5.54695603e+09]
31100,[5.54695604e+09]
31200,[5.54695605e+09]
31300,[5.54695606e+09]
31400,[5.54695608e+09]
31500,[5.5469561e+09]
31600,[5.54695611e+09]
31700,[5.54695612e+09]
31800,[5.54695613e+09]
31900,[5.54695614e+09]
32000,[5.54695615e+09]
32100,[5.54695616e+09]
32200,[5.54695618e+09]
32300,[5.54695619e+09]
32400,[5.54695621e+09]
32500,[5.54695622e+09]
32600,[5.54695625e+09]
32700,[5.54695626e+09]
32800,[5.54695627e+09]
32900,[5.54695628e+09]
33000,[5.54695629e+09]
33100,[5.5469563e+09]
33200,[5.54695632e+09]
33300,[5.54695632e+09]
33400,[5.54695634e+09]
33500,[5.54695635e+09]
33600,[5.54695635e+09]
33700,[5.54695636e+09]
33800,[5.54695637e+09]
33900,[5.54695638e+09]
34000,[5.54695639e+09]
34100,[5.5469564e+09]
34200,[5.54695641e+09]
34300,[5.54695643e+09]
34400,[5.54695644e+09]
34500,[5.54695645e+09]
34600,[5.54695647e+09]
34700,[5.54695647e+09]
34800,[5.5469565e+09]
34900,[5.54695651e+09]
35000,[5.54695652e+09]
35100,[5.54695653e+09]
35200,[5.54695654e+09]
35300,[5.54695655e+09]
35400,[5.54695656e+09]
35500,[5.54695657e+09]
35600,[5.54695658e+09]
35700,[5.54695659e+09]
35800,[5.5469566e+09]
35900,[5.5469566e+09]
36000,[5.54695661e+09]
36100,[5.54695662e+09]
36200,[5.54695663e+09]
36300,[5.54695665e+09]
36400,[5.54695666e+09]
36500,[5.54695666e+09]
36600,[5.54695668e+09]
36700,[5.54695669e+09]
36800,[5.54695669e+09]
36900,[5.5469567e+09]
37000,[5.54695671e+09]
37100,[5.54695676e+09]
37200,[5.54695677e+09]
37300,[5.54695679e+09]
37400,[5.5469568e+09]
37500,[5.54695682e+09]
37600,[5.54695683e+09]
37700,[5.54695684e+09]
37800,[5.54695686e+09]
37900,[5.54695687e+09]
