step,regret
22900,[7.45074071e+14]
23000,[7.45077234e+14]
23100,[7.45080561e+14]
23200,[7.45082974e+14]
23300,[7.4508574e+14]
23400,[7.45087872e+14]
23500,[7.4509027e+14]
23600,[7.45093266e+14]
23700,[7.45095759e+14]
23800,[7.45097532e+14]
23900,[7.45099443e+14]
24000,[7.45101966e+14]
24100,[7.45109695e+14]
24200,[7.45111419e+14]
24300,[7.45113014e+14]
24400,[7.45114371e+14]
24500,[7.4511642e+14]
24600,[7.45117965e+14]
24700,[7.45119295e+14]
24800,[7.45120815e+14]
24900,[7.4512236e+14]
25000,[7.45123985e+14]
25100,[7.45125402e+14]
25200,[7.45126887e+14]
25300,[7.45127967e+14]
25400,[7.45129176e+14]
25500,[7.45130441e+14]
25600,[7.45131598e+14]
25700,[7.45132587e+14]
25800,[7.45133697e+14]
25900,[7.45134753e+14]
26000,[7.45136044e+14]
26100,[7.45137174e+14]
26200,[7.45138087e+14]
26300,[7.45139432e+14]
26400,[7.4514036e+14]
26500,[7.45141295e+14]
26600,[7.45142193e+14]
26700,[7.45143007e+14]
26800,[7.4514362e+14]
26900,[7.4514453e+14]
27000,[7.45145312e+14]
27100,[7.45146233e+14]
27200,[7.45147015e+14]
27300,[7.45147907e+14]
27400,[7.45148553e+14]
27500,[7.45149135e+14]
27600,[7.45149826e+14]
27700,[7.45150543e+14]
27800,[7.45151227e+14]
27900,[7.451518e+14]
28000,[7.45152477e+14]
28100,[7.45153225e+14]
28200,[7.45153804e+14]
28300,[7.45154362e+14]
28400,[7.45154977e+14]
28500,[7.45155566e+14]
28600,[7.4515615e+14]
28700,[7.45156734e+14]
28800,[7.45157178e+14]
28900,[7.45157793e+14]
29000,[7.45158157e+14]
29100,[7.45158614e+14]
29200,[7.45159131e+14]
29300,[7.45159492e+14]
29400,[7.4515994e+14]
29500,[7.45160373e+14]
29600,[7.45160758e+14]
29700,[7.45161134e+14]
29800,[7.45161577e+14]
29900,[7.45161948e+14]
30000,[7.45162324e+14]
30100,[7.4516274e+14]
30200,[7.4516306e+14]
30300,[7.45163423e+14]
30400,[7.45163819e+14]
30500,[7.45164128e+14]
30600,[7.45164363e+14]
30700,[7.4516469e+14]
30800,[7.45164983e+14]
30900,[7.45165401e+14]
31000,[7.45165642e+14]
31100,[7.45165832e+14]
31200,[7.45166073e+14]
31300,[7.45166354e+14]
31400,[7.45166605e+14]
31500,[7.45166883e+14]
31600,[7.45167214e+14]
31700,[7.45167419e+14]
31800,[7.45167638e+14]
31900,[7.45167842e+14]
32000,[7.45168049e+14]
32100,[7.45168271e+14]
32200,[7.4516849e+14]
